Ava-out-1	192.168.119.97,192.168.119.11,192.168.119.95,192.168.119.102,192.168.119.104,192.168.119.54,192.168.119.55,192.168.119.96,192.168.119.141,192.168.9.208,192.168.9.182,192.168.9.193,192.168.29.30,192.168.29.136,192.168.119.94	192.168.119.101
Ava-out-2	192.168.119.97,192.168.119.11,192.168.119.95,192.168.119.102,192.168.119.104,192.168.119.54,192.168.119.55,192.168.119.96,192.168.119.141,192.168.9.208,192.168.9.182,192.168.9.193,192.168.29.30,192.168.29.136,192.168.119.94	123.sogou.com
Ava-out-3	192.168.119.97,192.168.119.11,192.168.119.95,192.168.119.102,192.168.119.104,192.168.119.54,192.168.119.55,192.168.119.96,192.168.119.141,192.168.9.208,192.168.9.182,192.168.9.193,192.168.29.30,192.168.29.136,192.168.119.94	www.sohu.com
Ava-out-4	192.168.119.97,192.168.119.11,192.168.119.95,192.168.119.102,192.168.119.104,192.168.119.54,192.168.119.55,192.168.119.96,192.168.119.141,192.168.9.208,192.168.9.182,192.168.9.193,192.168.29.30,192.168.29.136,192.168.119.94	news.sohu.com
Ava-out-5	192.168.119.97,192.168.119.11,192.168.119.95,192.168.119.102,192.168.119.104,192.168.119.54,192.168.119.55,192.168.119.96,192.168.119.141,192.168.9.208,192.168.9.182,192.168.9.193,192.168.29.30,192.168.29.136,192.168.119.94	sports.sohu.com
Ava-out-6	192.168.119.97,192.168.119.11,192.168.119.95,192.168.119.102,192.168.119.104,192.168.119.54,192.168.119.55,192.168.119.96,192.168.119.141,192.168.9.208,192.168.9.182,192.168.9.193,192.168.29.30,192.168.29.136,192.168.119.94	tv.sohu.com
Ava-out-7	192.168.119.97,192.168.119.11,192.168.119.95,192.168.119.102,192.168.119.104,192.168.119.54,192.168.119.55,192.168.119.96,192.168.119.141,192.168.9.208,192.168.9.182,192.168.9.193,192.168.29.30,192.168.29.136,192.168.119.94	learning.sohu.com
Ava-out-8	192.168.119.97,192.168.119.11,192.168.119.95,192.168.119.102,192.168.119.104,192.168.119.54,192.168.119.55,192.168.119.96,192.168.119.141,192.168.9.208,192.168.9.182,192.168.9.193,192.168.29.30,192.168.29.136,192.168.119.94	business.sohu.com
Ava-out-9	192.168.119.97,192.168.119.11,192.168.119.95,192.168.119.102,192.168.119.104,192.168.119.54,192.168.119.55,192.168.119.96,192.168.119.141,192.168.9.208,192.168.9.182,192.168.9.193,192.168.29.30,192.168.29.136,192.168.119.94	travel.sohu.com
Ava-out-10	192.168.119.97,192.168.119.11,192.168.119.95,192.168.119.102,192.168.119.104,192.168.119.54,192.168.119.55,192.168.119.96,192.168.119.141,192.168.9.208,192.168.9.182,192.168.9.193,192.168.29.30,192.168.29.136,192.168.119.94	house.focus.cn
